Lien,Poste,Entreprise,Localisation,Type de Contrat,Salaire,Description,Nombre d'avis,Note Moyenne,Diplôme,Années d'expérience,Type de contrat,Temps de travail,Technologies,Langues,Industrie,Département
https://fr.indeed.com/viewjob?jk=395811338f93e1f2,Data Engineer H/F,Chasseresse de talents,Télétravail," -  Temps plein, CDI",70 000 € - 75 000 € par an,"Je recherche un Data Engineer(CDI), pour le compte d’un de mes clients, un éditeur de logiciels visant à renforcer la cybersécurité des systèmes industriels & IOT (2 ans d’expérience effective en tant que Data engineer requise).Les missions principales sont les suivantes : vous serez en charge de concevoir depuis 0, implémenter et maintenir leur data lake qui sera utilisé pour leur technologie de Machine Learning.- Récupération de la donnée d’intérêt cyber- Stockage et indexation de cette donnée dans leur data lake- Prétraitement et agrégation de la donnée en amont des travaux de Machine Learning- Exposition de la donnée aux différents utilisateurs en interneStack technique :Exploitation du data lake, volet data engineering :Mise en place d’un ou plusieurs clusters ElasticSearchAutomatisation des routines de prétraitement et de parsing avant stockage dans les clustersExposition de la donnée aux services Machine Learning via API ou via la mise en place de dashboard et d’analytics.Implémentation & optimisation des performances du data lake avec des technologies de type : SQL/Hadoop, Hive, Impala, Spark SQL, Presto, PostGreSQLDéveloppement logiciel avec un ou plusieurs langages de programmation: Python, etc.Serait un plus: compétences Data OpsDéploiement facilité d’algorithmes de Machine Learning à l’aide de technologies de type Docker / KubernetesUne connaissance des chaînes CI/CD fournies par dataiku ou databricks sont un plusUne expérience dans l’utilisation d’outils de type ML Flow, AirFlow, KubeFlow, etc…, sont un plusLa connaissance des systèmes industriels et IOT est un plusVous devez être basé en France - le lieu de vie étant flexible. (habilitation Secret Défense - le code ne devra pas sortir de France).Si ces quelques mots vous intéressent, n’hésitez pas à me contacter en retour afin que nous puissions échanger.100% télétravail si souhaitéStatut : CadreType d'emploi : Temps plein, CDISalaire : 70 000,00€ à 75 000,00€ par anAvantages :Travail à DistanceHoraires :Du Lundi au VendrediTélétravail:Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=749fa9dfefc90f6e,ASSISTANT GESTION - BASE DE DONNEES/COMPTABILITE (H/F),andros,28700 Auneau,"Temps plein, CDD",NA,"CDD
Temps plein
Moins de 2 ans
DUT, BTS, Bac + 2
Administratif
Mission
Andros recherche pour sa filiale GER'SON (activité : confiserie)


un Assistant Gestion - Base de données/comptabilité(H/F)
Rattaché au responsable de gestion et au sein du pôle gestion de base de données (BDD),

vous aurez comme missions principales :
Assister l’administrateur de la BDD en réalisant la collecte et la saisie informatique des informations sur les différentes bases à destination de l’ensemble des services utilisateurs
Mettre à jour et garantir tant l’actualisation que la qualité des bases de données locales (articles & tiers) tout en assurant le support aux utilisateurs dans le respect des procédures.
Etablir le contrôle & l’enregistrement comptable des factures d’achats des composants
 - Aider l’ensemble des services du département de gestion (classement et l’archivage des documents administratifs & comptables,divers travaux sous excel et word)
Profil
formation Bac+2 (BTS Assistant Gestion, BTS comptabilité ....)parfaite maîtrise Word et Excel
première expérience souhaitée dans une fonction similaire, débutant accepté
CDD 3 mois, poste à pourvoir immédiatement
Infos pratiques
Au cœur de la Vallée de la Dordogne, à 2h de Toulouse et 1h30 de Limoges.",112,3.8,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=9d345f049cdc5939,Administrateur de base de données H/F,Lacour Concept,18230 Saint-Doulchard,CDI,NA,"Au sein d'une équipe passionnée et à taille humaine, vous concevez, installez et exploitez les systèmes d’administration des bases de données et la conception des modèles de données. Vous mettez en place des procédures techniques d’exploitation, d’utilisation et de sécurité des architectures en liaison avec les services concernés. Vous analysez et préconisez les mesures d’amélioration de la qualité et de sécurité des données. Vous mettez en place et maintenez un système d’alerte et de surveillance de base de données. Vous participez à l’analyse technique des différents projets en assurant la relation et la communication avec les différentes équipes.Vous êtes :De formation Bac+3 en Informatique avec expérience de plusieurs années sur ce type de posteOu de formation Bac+5 en Informatique et expérience ou stage dans l’administration de base de données.Vous avez des connaissances en administration système Windows Server. Vous avez des notions sur des SGBD comme ElacticSearch ou Microsoft SQL Server. Idéalement, vous avez des notions de développement (C#) et de scripting (Powershell). Une maitrise de l’anglaise serait un plus à votre candidature.Vous êtes curieux, rigoureux avec des qualités relationnelles.CDI, temps plein, 39h, rémunération sur 37h avec 1 jour de repos complémentaire mensuel. Salaire selon expériences et compétences.Mutuelle prise en charge 100%, participation, prévoyance.Type d'emploi : CDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=39e0fba45d3d7c6c,Gestionnaire données techniques H/F,HAYS,Bourges (18), -  CDI,35 000 € - 40 000 € par an,"Rejoignez une entreprise bien établie dans le Cher !
Hays Technology recherche pour son client, un Gestionnaire Données Techniques en CDI. Il s’agit d’une société bien implantée à Bourges. Recrutement dans le cadre d’une création de poste.

Les missions sont les suivantes :
Analyser les manques / problèmes issus de l’ERP et piloter la mise à jour des datas,Assurer l’interface entre les Responsables industriels et les méthodes en assurant la mise à jour des gammes de développement et de série,Mettre en place un suivi des OMP et piloter leur validation,Piloter les revues de cohérence entre le PLM et l’ERP, en animant des séances avec l’ensemble des métiers nécessaires,Analyser les coûts et cycles réels de réalisation et en établir une synthèse pour les Responsables industriels,Participer à la définition des axes d’amélioration sur les coûts et cycles de réalisation,Proposer la mise à jour des coûts standards,Déployer et suivre l’ensemble des outils et méthodologies liés à l’industrialisation, pour atteindre les objectifs projets,Participer activement au déploiement de l’Obeya Indus sur site.
De formation Bac +2 en gestion ou systèmes d’information, vous disposez au moins de 5 ans d’expérience sur un poste similaire en industrie. Vous êtes déjà intervenu sur un ERP et vous connaissez les outils Lean (DMAIC, 5M).

Chez Hays Technology, nous façonnons l'avenir du recrutement. Les compétences en gestion de projet n'ont jamais été aussi nécessaires. De ce fait, nous sommes au cœur des transformations digitales de nos clients. Que vous soyez à la recherche de compétences pour votre équipe, ou que vous cherchiez à passer à la prochaine étape de votre carrière, nous pouvons en parler dès aujourd'hui. #1284576",987,3.6,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=9f1c24c8e7e397af,Data Engineer F/H,Avanci,37000 Tours,"Temps plein, CDI",NA,"Notre mission
Chez Avanci, agence conseil en Data et CRM, spécialisée en stratégie de fidélisation et filiale de MV Group, nous nous sommes donné une mission : exploiter au maximum la puissance des données pour délivrer une expérience client personnalisée et inoubliable. Un challenge qui ne peut réussir qu’avec l’expertise et la motivation de nos équipes !

Pour accompagner notre forte croissance et développer notre pôle Data, nous sommes à la recherche de notre futur(e) Data Engineer à Tours. Et si c’était toi ?

Ce que l'on te propose
En tant que Data Engineer, tu auras la responsabilité de la conception, de la gestion et de l’administration des bases de données marketing des clients de l’agence.

Tes missions :

Développer et designer les architectures de données pour le compte des clients de l’agence ;
Construire et optimiser des pipelines data complexes ;
Structurer, normaliser et unifier des données à partir de sources multiples ;
Concevoir de nouveaux modèles de données efficaces et fiables ;
Maintenir, contrôler et assurer la gestion et l’exploitation des bases de données (maintenance corrective et évolutive) ;
Rédiger la documentation technique et fonctionnelle nécessaire ;
Accompagner les Data Analysts dans l'optimisation de leurs algorithmes ;
Contribuer à l'exploitation (résolution incident, évolutions, fix bug) des développements.
Participer activement à l'amélioration continue des technos utilisées et des prestations délivrées par le pôle Data ;

Ton profil
✔ Tu es titulaire d’un diplôme d’Ingénieur Informatique ou de son équivalent universitaire Bac+5 et tu as acquis une solide expérience dans une fonction similaire ;

✔ Tu maîtrises les langages SQL et Python ;

✔ Tu as des connaissances d’autres plateformes de données (ex : PostgreSQL, Snowflake) ;

✔ Tu sais travailler en mode projet et tu as une connaissance des processus et méthodes/outils de gestion de projet (planning, budget, indicateurs) ;

✔ Tu maîtrises l'environnement et les enjeux data à finalité marketing ;

Le + : tu as déjà déployé des bases de données NoSQL

Nous recherchons aussi et surtout une personnalité :

✔ Tu es force de proposition sur les améliorations d'automatisation, de processus et modes de fonctionnement ;

✔ Tu es organisé(e), méthodique et rigoureux(se), autonome, et tu as l'esprit d'initiative et le sens du service client ;

✔ Tes qualités relationnelles et ta capacité à communiquer avec différents interlocuteurs sont reconnues ;

✔ Tu sais gérer les imprévus et gérer ton stress ;

✔ Tu es curieux(se) et ouvert(e) aux différentes technologies.

Pourquoi venir chez Avanci ?
Tu as coché toutes les cases (ou presque) ? Maintenant, c’est à nous de te convaincre. Voici 4 raisons d’intégrer Avanci :

1. Tu évolueras dans un environnement stimulant :

Tu partageras avec une vingtaine d’experts la même passion de la data ;
Avanci est une filiale de MV Group qui se compose de 7 autres entités aux expertises digitales complémentaires : projets en commun et clients de différents horizons t’enrichiront en rencontres et diversifieront tes échanges.

2. Nous partagerons les mêmes valeurs :

Le plaisir : nous avons à coeur de favoriser l’épanouissement de nos équipes. Nous sommes à l’écoute de tes besoins et nous mettons tout en place pour que tu te sentes bien au quotidien : locaux conviviaux, parcours d’intégration, tickets restaurants, horaires flexibles, mutuelle, RTT, home office, etc. ;
La performance : puisque la satisfaction de nos clients passe d’abord par la qualité du travail de nos équipes, nous te fournissons tous les outils nécessaires à la bonne réalisation de tes missions (matériels informatiques, téléphone, logiciels, etc.) ;
L’engagement : Avanci, MV Group et nos collaborateurs sont engagés dans des actions concrètes, solidaires et éco-responsables : prime de transport durable, don de matériels, soutien d’associations, etc. Fondateur de l’Ecole Digitale de la Nouvelle Chance visant un public prioritaire, toutes nos offres d’emploi sont évidemment ouvertes aux personnes en situation de handicap.

3. Tu feras partie d’un collectif :

Au cours de l’année, plusieurs évènements internes seront organisés pour renforcer la cohésion au sein de ton équipe et du groupe (séminaires, teams buildings, déjeuners d’équipe, etc) ;
Tous les pôles d’expertise sont organisés avec des équipes à taille humaine pour favoriser les interactions et ton évolution.

4. Nous t'accompagnerons tout au long de ton parcours :

Tu bénéficieras de formations régulières en interne pour accélérer ton évolution ;
Tu pourras, si tu le souhaites, évoluer vers d’autres expertises au sein d’Avanci ou d’autres filiales dans le Groupe ;
Si ton projet de vie t’emmène ailleurs, tu pourras rejoindre une de nos 10 autres agences : Rennes, Nantes, Paris, Lille, Strasbourg, Lyon, Bordeaux, Toulouse, Marseille ou Nice.

La suite avec nous

Toutes les candidatures seront traitées par notre équipe recrutement. Si ton profil correspond à nos besoins, nous organiserons :
1 appel avec notre Chargée de recrutement pour en savoir plus sur ton parcours et tes attentes
2 moments d’échange : 1 avec le responsable du pôle et 1 avec Lina, notre Directrice du Capital Humain et/ou Alexandra, notre Directrice des Expertises pour s’assurer que ton profil matche avec l’équipe et les compétences attendues.

Convaincu(e) ? Alors rejoins-nous vite !",5,4.4,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=2a4985e67236e9a4,Data manager Géosciences F/H,CVA,Orléans (45),CDD,NA,"Data manager Géosciences F/H
Ref. Apec : 167607708W / Ref. Société : Data Manager SIG
CVA
1
CDD
 de 10 mois
Orléans - 45
Publiée le 07/02/2022
Actualisée le 09/02/2022
Salaire
A négocier
Prise de poste
28/02/2022
Expérience
Minimum 3 ans
Métier
Chief Data Officer et Data Manager
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
INGÉNIERIE, ÉTUDES TECHNIQUES

Descriptif du poste
Dans le cadre de l’activité de notre client nous recherchons un data manager (H/F) en gestion de données géospatialisées géologiques sur des projets scientifiques et techniques.
Missions :
 Intégrer les données numériques dans le système d’information métier (géologie, ressources minérales, géothermie…) en automatisant des processus pour accélérer l’intégration et la qualification de ces données.
Participer à la capitalisation des données numériques notamment en identifiant, transmettant et saisissant les données manquantes au SI.
Mettre à jour le catalogue des données géologiques et les services de diffusion sur les plateformes dédiées.
Produire la documentation technique en lien avec les taches réalisées
Profil recherché
Bac +5 en Data Management et SIG/Géomatique
Expérience exigée dans la gestion de données techniques avec l’exploitation d’outils ETL (FME, Talend, …)
Expérience dans l’élaboration de procédures d’intégration de données (PostgreSQL…)
Expérience sur les langages de script (Python, Shell, PL/SQL)
Connaissances des données géographiques et outils associés (QGIS, ArcGIS)
Connaissances des données géologiques, géophysiques et ressources minérales
Anglais technique et scientifique exigé
Entreprise
L'activité du Groupe CVA repose sur une idée simple : être le support technique RH pour manager les projets, et ce dans les secteurs très spécifiques que sont l'étude du Sol et du Sous-Sol, l'exploration et la gestion de Géo-Ressources et l'industrie des procédés chimiques. L'approche du recrutement chez CVA est, avant tout, fondée sur une compréhension approfondie des compétences techniques, du parcours et des attentes professionnelles de chacun
Personne en charge du recrutement
Camille Espouy - assistante de recrutement",41,3.6,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=88131431267d3d65,Responsable de référentiels de données H/F,Groupe Scael,28000 Chartres,CDI,NA,"Nous recherchons un(e) : RESPONSABLE DE REFERENTIELS DE DONNEES H/F – CDIPoste basé à Chartres (28) – Prise de poste dès que possibleMissions : Intégré(e) à la Direction financière et en étroite collaboration avec la DSI, vous aurez pour mission d’assurer le bon fonctionnement des bases de données du groupe en garantissant la fiabilité et la pérennité des données afin qu’elles puissent être accessibles aux utilisateurs internes.Dans ce cadre, vous devrez : Garantir la fiabilité et l’évolution des référentiels MDM tiers et Article (compréhension des enjeux et des besoins des différents métiers du groupe, création et mise à jour des fiches produits, animation des contributeurs internes),Animer, optimiser et veiller à la qualité des données afin qu’elles soient conformes et exploitables (traitement des anomalies, des doublons, informations incohérentes…) et proposer des actions d’amélioration et les corrections nécessaires,Garantir la cohérence, la qualité, la sécurité et l’accessibilité permanente des informations,Assister les utilisateurs dans l’utilisation des outils et leur apporter un support si nécessaire,Piloter les évolutions du MDM en lien avec les métiers du Groupe et de la DSI (identifier les attentes des utilisateurs de données, challenger, arbitrer et prioriser les besoins),Rédiger les procédures de gestion des données.De formation supérieure en informatique, statistiques ou mathématiques, vous disposez d’une expérience d’au moins 5 ans sur une fonction similaire.Evoluant dans un environnement dynamique, votre rigueur et votre capacité d’adaptation sont de véritables atouts. Vous appréciez également le travail en équipe et faites preuve d’une bonne communication et êtes force de proposition afin d’améliorer les différents processus de gestion des données.Vos capacités relationnelles et votre souplesse vous permettent de vous adapter à chaque situation et aux différents interlocuteurs avec lesquels vous échangez au quotidien.Vous êtes à la recherche d’une amélioration constante des process/outils et savez synthétiser l’information et travailler en mode projet. La maîtrise d’Excel est essentielle pour ce poste. Une connaissance de Microsoft Dynamics 365 Business Central et/ou une expérience omnicanale serait un plus.Nous sommes convaincus que la diversité est une richesse pour l'entreprise et un atout pour sa performance. C'est pourquoi, nous soutenons l'égalité entre les femmes et les hommes et favorisons l'insertion professionnelle, l'accès et le maintien dans l'emploi des personnes en situation de handicap.Type d'emploi : CDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=160958cc2ebb808b,DATA MANAGER (F/H),EXPECTRA,41600 Lamotte-Beuvron," -  Temps plein, CDI",42 000 € - 45 000 € par an,"Sous la responsabilité de l'Ingénieur Manager, vous vous assurez que les objectifs de l'entreprise en matière de satisfaction client, de qualité et de contrôle des coûts sont obtenus grâce à la création et à la maintenance de données précises qui sous-tendent le processus MRPII d'entreprise. Celui-ci est essentiel dans la vie des nouveaux produits et dans les domaines qui y sont liés : qualité, développement de produits, fabrication, approvisionnement, planification, coût du production.Pour cela, vous devez gérer 25000 articles : achat de pièces, sous-ensembles, vente de pièces et 600 fournisseurs.Vous êtes:- Chargé du développement et de la gestion de l'ensemble du processus de création des produits.- Responsable de l'ajout et de la modification de toutes les données de produit sur le système ERP de l'entreprise en lien avec la chaîne d'approvisionnement.- Facilitateur dans le processus de contrôle des modifications techniques (ECC), vous modifiez les nomenclatures et les routages sont précis et terminés dans les temps impartis.- En mesure de soutenir le processus de développement des nouveaux produits, d'introduction et de fin de vie du produit pour assurer l'achèvement complet et en temps opportun.- Développez les procédures de gestion des données nécessaires afin de créer un processus et une culture d'exactitude des données.- Fore de propositions pour augmenter la satisfaction client et les processus internes grâce à des bases de données.- En capacité de comprendre l'ensemble du processus de la chaîne d'approvisionnement pour développer des opportunités d'amélioration grâce à la gestion des données de référence.Vous opérez au sein de l'équipe d'ingénierie en interaction avec les services : fabrication, Achats, clients, Magasin, Comptabilité, Qualité, R&D, Chefs de produits, Approvisionnement et marketing pour garantir les plus hauts niveaux d'exactitude des données créés.Rattaché au service méthodes, vous justifiez d'une expérience similaire dans un poste en industrie.Vous avez une bonne maîtrise de SAP (création d'articles, les prix, les coûts...).Anglais impératif oral/ecrit.Date limite de candidature : 28/02/2022Type d'emploi : Temps plein, CDISalaire : 42 000,00€ à 45 000,00€ par anHoraires :Travail en journéeLangue:Anglais (Exigé)Télétravail:Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=a1326589160a4066,Data Scientist H/F,HAYS,Tours (37), -  CDI,40 000 € - 45 000 € par an,"Intégrez une structure industrielle de renom et prenez part à des projets d'envergure.
Hays Technology recherche pour son client, un acteur majeur dans le secteur du transport issu d’un groupe international de renom et présent sur plusieurs sites en France, un Data Analyst confirmé afin d’étoffer l’équipe IT en place. Le poste est à pourvoir en CDI à proximité de Tours (37).

Intégré au sein de la BU Connectivité, dans une équipe de 2 personnes et entouré du service IT et maintenance (10 personnes environ), vous êtes chargé de préparer les projets (analyse de la documentation, création de l’architecture pour stocker les données, coordination avec les autres BU). Vous êtes aussi chargé de créer les algorithmes, en effectuant la préparation et l’exploration des données, identifiez les caractéristiques « features » pour la prédiction des défaillances et développez, testez et validez les algorithmes. Vous créez également des métriques pour comparer ces derniers et rédigez les specs et les rapports. Vous êtes aussi en charge de la création des modules plug and play configurables pour exécuter les algorithmes sur une architecture cloud. Vous êtes aussi en charge des dashboard pour présenter les résultats. Enfin, vous assurez la maintenance des algorithmes et en proposez de nouveaux pour améliorer la maturité des solutions (développement et maintien de la bibliothèque locale).

Issu d’une formation ingénieur, vous avez une appétence pour l’algorithmie / l’analyse des données ou êtes issu du monde de l’IT avec une connaissance électromécanique.


Vous justifiez d’au moins 3 années d’expérience en maintenance conditionnelle, maintenance prédictive.Maîtrise de la programmation en Python, des méthodes d’approches d’analyse des séries temporelles et des algorithmes et bibliothèques d’apprentissage automatique (sklearn, tensorflow, Keras, pytorch…)
Maîtrise des architectures et des outils cloud (Kafka, Ms Azure) et de la gestion de BDD (NoSQL, Cassandra, PostgreSQL) ainsi que de Kubernetes et Docker.Bonne compréhension des systèmes électromécaniquesVous avez idéalement une expérience dans le domaine industrielle (transport)

Si vous êtes autonome, mature et force de proposition et que vous souhaitez rejoindre un groupe d’envergure, alors ce poste est fait pour vous.

Je suis consultant en recrutement chez Hays Technology, spécialiste du développement de logiciel à Tours. J’aide les professionnels de la Tech à développer leur carrière et je m’assure que les organisations sont soutenues par les meilleurs talents.


Alors que la concurrence pour les talents s'intensifie, nous sommes prêts à aider les développeurs à avoir un impact réel sur les organisations, alors discutons-en ensemble dès aujourd'hui. #1280804",987,3.6,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=1f66314670c31c6b,Directeur de projet DATA H/F,Inetum,Orléans (45),CDI,NA,"Mission
Le Directeur de Projet orienté DATA en Centre Services est sous la responsabilité d'un Délivery Manager, il a en charge le suivi et l'exécution de ses contrats projets au niveau des engagements contractuels, financiers, qualité, délais, risques et satisfaction client. Il assure par ailleurs le management et l’animation de son équipe avec des chefs de projets. Il est le garant du delivery sur chaque contrat projet sous sa responsabilité.

Pour cela, le Directeur de Projet DATA devra :

Participer à notre offre DATA avec la communauté.
Participer en amont, avec l'équipe DATA, aux avant-vente par la prise en charge de consultation type marché public ou privé, démarche et estimation des projets.
Assurer le lancement et le pilotage des projets d'un point de vue contractuel, conformité et organisation d'équipe.
Assurer le management des équipes projets en termes de maintien des compétences, de respects des procédures et de motivation.
Suivre tout au long de la vie du contrat son bon déroulement en relation directe avec le chef de projet.
Participer et / ou animer les instances décisionnelles (comités de pilotage, comité stratégique)
Assurer un suivi budgétaire et rentabilité de ses contrats,
Se conformer aux procédures de la Direction Industrielle en termes de reporting, qualité, risques, sécurité, RGPD.
Assurer chaque fin de mois sa clôture de son périmètre (RAF, Factures, Marge, Risque…°

Profil
De formation Bac +5, avec une participation à vos débuts à des projets NTIC et DATA, et une solide expérience de 10 ans en tant que Directeur de Projet, idéalement en Centre de Services ESN. Vous êtes autonome et rigoureux dans l'exécution des tâches qui vous sont confiées. Vous avez un bon relationnel qui vous confère une bonne écoute des collaborateurs et des clients. Vous avez le sens du service et du respect des engagements de chacune des parties.

Les Compétences requises :

Suivi Financier
Contrat Management
Model de Delivery (CDR, CDC, CDS)
Management Equipe
Pilotage de contrat et projet avec engagements
Technologique NTIC, DATA de préférence Microsoft BI
Sens du service et bon relationnel client
Connaissance des contraintes de conformité contractuelle (RGPD, Sécurité)

Organisation
Nous sommes une ESN agile et un groupe international. A l'ère de la post-transformation digitale, nous mettons tout en œuvre pour que chacun de nos 27 000 collaborateurs puisse se renouveler perpétuellement, en vivant positivement son propre flow digital. Chacun d'entre eux peut ainsi façonner son parcours de carrière selon ses appétences, entreprendre de manière pragmatique avec ses clients pour un monde plus positif, innover localement dans 26 pays et harmoniser son investissement professionnel et son bien-être personnel.
Rejoignez Inetum. Vivez votre flow digital positif.

Tous nos postes sont ouverts aux personnes en situation de handicap.
Pays
France
Emplacement
Orléans
Type de contrat
CDI",112,3,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=247bc3e475abf62a,Data Scientist (h/f),Spring,"4 RUE GAMBETTA, 37000 Tours", -  CDI,40 000 € par an,"Votre mission
A la recherche de nouvelles affinités professionnelles ? Spring, cabinet de recrutement spécialisé en recrutement et intérim spécialisé, recherche pour son client situé sur Tours (37), un Data Scientist (h/f).

Rattaché au Responsable du service, vos missions :

 Analyser la documentation du système et comprendre son fonctionnement Créer une architecture efficace pour stocker les données Coordonner les actions avec l'équipe informatique du cloud pendant la mise en œuvre de l’architecture de stockage sur le cloud Effectuer la préparation et l'exploration de données (nettoyage, visualisation, agrégation...) Développer, tester et valider les algorithmes utilisés pour prédire les défaillances Créer des métriques utilisées pour comparer les algorithmes
 Rédiger les spécifications et les rapports
 Créer des modules plug and play configurables utilisés pour exécuter des algorithmes sur une architecture cloud Créer des tableaux de bord afin de présenter les résultats des algorithmes aux utilisateurs finaux. Proposer de nouveaux algorithmes pour améliorer la maturité des solutions
 Identifier de nouvelles solutions pour les algorithmes Rapporter fréquemment les KPI des projets au responsable
 Participer aux examens et réunions


Compétences requises :
 Bonne connaissance des moyens, outils et bibliothèques de fouille des données (pandas, Vaex...)
 Maîtrise de la programmation informatique notamment Python
 Maîtrise des méthodes et approches d'analyse des séries temporelles.
 Maîtrise des algorithmes et bibliothèques d'apprentissage automatique (sklearn, tensorflow, Keras, pytorch...) Maîtrise des architectures et des outils cloud (Kafka, Ms Azure) Maîtrise de la gestion des bases de données (NoSQL, Cassandra, PostgreSQL...) Bonne connaissance de la gestion et l’orchestration des applications dans le cloud et des outils (Kubernetes, Docker...) Bonne compréhension des systèmes électromécaniques Maîtrise des méthodes statistiques et mathématique pour la science des données (algèbre linéaire, calcul matriciel…)
Votre profil
De formation supérieure en de type BAC +5 en Informatique, vous disposez de 3 ans minimum sur un poste similaire idéalement en maintenance conditionnelle et/ou prédictive en environnement industriel.

Vous maîtrisez l’anglais.

Vous disposez d’une connaissance des langages de programmation Java et R est un plus.

Vous faites preuve de concentration, de créativité, d’assiduité.

Vous êtes autonome, force de proposition et vous appréciez le travail en équipe avec d’autres services.

﻿Pour faire la différence : www.springfrance.com
A propos de nous
Spring est le cabinet de conseil en recrutement et Intérim spécialisés du Groupe Adecco, présent dans 24 pays. En France, nos équipes sont composées de plus de 250 consultants en recrutement qui disposent d'une double expertise : géographique de par notre présence dans 30 villes en France, et sectorielle via nos 11 spécialisations. Notre connaissance des métiers ainsi que de nos bassins d'emploi nous permettent de vous proposer des solutions qui répondent à vos projets professionnels.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=16ca354ff1238880,Administrateur Base de Données F/H,ALBA RECRUTEMENT,Hybrid remote,CDI,NA,"Administrateur Base de Données F/H
Ref. Apec : 167474015W
ALBA RECRUTEMENT
1
CDI
Romorantin-Lanthenay - 41
Publiée le 18/01/2022
Actualisée le 21/02/2022
Salaire
A négocier
Prise de poste
Dès que possible
Expérience
Minimum 3 ans
Métier
Administrateur de bases de données
Statut du poste
Cadre du secteur privé
Zone de déplacement
Pas de déplacement
Secteur d’activité du poste
CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION
Télétravail
Partiel possible

Descriptif du poste
ALBA Recrutement recherche pour son client, Groupe industriel international, un Administrateur Base de Données H/F.
Rattaché(e) au Directeur Des Systèmes d'Information, vous rejoignez une équipe informatique de 6 personnes.
Votre mission est de développer, de mettre en place et de maintenir les échanges de flux EDI entre les applications métier et les clients ou les partenaires.
Vos principales missions seront :D'étudier les besoins métier et fonctionnels en communiquant avec les clients sur les problématiques techniquesD’analyser les flux de donnéesDe réaliser les configurations techniques, les interfaces (mapping et intégration des données)De vérifier la conformité aux spécifications techniques et fonctionnelles des donneurs d’ordres, de vérifier la structure des messagesDe paramétrer les flux EDI dans l’ERP ou dans l'EAIDe piloter les tests techniques et de résoudre les incidents techniques
Profil recherché
De formation BAC+2 ou +3 en informatique, vous justifiez d'une première expérience d'au moins 3 ans sur un poste similaire orientée gestion des échanges de données informatiques (paramétrage, configuration, installation, formation) et/ou gestion de bases de données.
Une expérience informatique dans le domaine logistique et/ou l'exploitation des normes VDA, GALIA serait appréciée.
Vous maîtrisez les compétences techniques suivantes : Bases de données SQL (Oracle, MSSQL,), Langages XML et HTML, utilisation de Web service.
Excellent relationnel et très bon(ne) communicant(e), vous êtes à l'aise tant à l'écrit qu'à l'oral.
Rigoureux/rigoureuse, empathique, vous êtes force de proposition et en toute circonstance à l'écoute de votre client qu'il soit interne ou externe.
CDI
Télétravail possible 2 jours / semaine
Entreprise
ALBA Recrutement est un cabinet spécialisé dans le recrutement des fonctions support et de cadres dirigeants.
Personne en charge du recrutement
Aline André - Gérante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=3d069cafcd204b8f,Database Administrator,Dematic,Saint-Jean-de-la-Ruelle (45),NA,NA,"Database administrator for new and existing customer sites across European region
What we offer:
Installation of databases on our customers' IT infrastructures
Monitoring and tuning during the qualification steps of our software package
Maintain all the bases installed at our customers' premises in operational condition.
Regular 24/7 on-call for a week
Tasks and Qualifications:
Minimum 3 years’ experience as a Database Administrator on Oracle software
Dataguard
Lighty and Solarwind tools
RMAN backup
Control on Windows and Linux
Cluster environment (Oracle Failsafe)
Good control on Oracle’s optimizer
Base 11 à 19c
Ideally, an experience on SQL Server
Professional English required",275,3.5,NA,NA,NA,NA,NA,NA,NA,NA
